id,createTime,updateTime,workerId,hsLast10Min,hsLast1Hour,hsLast1H,hsLast1D,rejectRatio,shareLastTime,workerStatus,userWorkerId,groupName,groupId,onlineTimeLast24h,reconnectLast24h,fanCode,fanValue,hashCode,hashValue,networkCode,networkValue,temperatureCode,temperatureValue,brand,model,power,hashRate,burstBlock72h,derivedIP
232771328,1758273310000,,30x182,300.24 TH/s,295.92 TH/s,300.24 TH/s,313.56 TH/s,0.46%,1769575639000,1,sam001sz.30x182,,0,23.98,17,,,,,,,,,,,,,False,172.16.30.182
232596482,1758250874000,,30x163,330.27 TH/s,317.03 TH/s,330.27 TH/s,312.79 TH/s,0.38%,1769575639000,1,sam001sz.30x163,,0,24.0,2,,,,,,,,,,,,,False,172.16.30.163
232776451,1758273851000,,31x22,322.76 TH/s,327.76 TH/s,322.76 TH/s,314.03 TH/s,0.43%,1769575639000,1,sam001sz.31x22,,0,24.0,2,,,,,,,,,,,,,False,172.16.31.22
232596485,1758250874000,,30x71,300.24 TH/s,329.01 TH/s,300.24 TH/s,329.39 TH/s,0.37%,1769575639000,1,sam001sz.30x71,,0,18.02,6,,,,,,,,,,,,,False,172.16.30.71
232596486,1758250874000,,30x72,389.85 TH/s,323.89 TH/s,389.85 TH/s,333.19 TH/s,0.37%,1769575639000,1,sam001sz.30x72,,0,11.72,26,,,,,,,,,,,,,False,172.16.30.72
232631050,1758255490000,,30x32,277.73 TH/s,334.02 TH/s,277.73 TH/s,319.11 TH/s,0.27%,1769575639000,1,sam001sz.30x32,,0,21.19,8,,,,,,,,,,,,,False,172.16.30.32
232631053,1758255491000,,30x76,106.38 TH/s,327.76 TH/s,106.38 TH/s,316.96 TH/s,0.46%,1769575639000,1,sam001sz.30x76,,0,23.8,27,,,,,,,,,,,,,False,172.16.30.76
232771342,1758273311000,,30x176,330.27 TH/s,300.24 TH/s,330.27 TH/s,325.17 TH/s,0.45%,1769575639000,1,sam001sz.30x176,,0,24.0,11,,,,,,,,,,,,,False,172.16.30.176
232596495,1758250874000,,30x115,352.79 TH/s,272.56 TH/s,352.79 TH/s,306.6 TH/s,0.56%,1769575639000,1,sam001sz.30x115,,0,24.0,11,,,,,,,,,,,,,False,172.16.30.115
232596496,1758250874000,,30x164,306.81 TH/s,331.36 TH/s,306.81 TH/s,306.49 TH/s,0.48%,1769575639000,1,sam001sz.30x164,,0,23.06,12,,,,,,,,,,,,,False,172.16.30.164
